age,gender,school_type,parent_education,study_hours,attendance_percentage,internet_access,travel_time,extra_activities,study_method,computer_network_score,operating_system_score,daa_score,overall_score,final_grade
16,female,private,phd,5.9,68.7,yes,<15 min,yes,notes,100.0,95.3,62.3,77.5,c
17,male,private,graduate,5.7,64.1,yes,30-60 min,yes,online videos,64.9,95.6,90.5,80.9,c
18,male,private,high school,0.8,80.3,yes,>60 min,yes,coaching,35.5,40.3,36.6,46.1,e
14,male,public,post graduate,1.1,84.6,yes,30-60 min,no,online videos,49.0,40.8,41.7,40.5,e
15,other,public,diploma,3.7,81.6,yes,>60 min,no,online videos,50.7,54.5,74.0,58.8,d
18,male,private,no formal,7.4,59.8,yes,<15 min,yes,mixed,88.3,98.0,78.0,85.1,b
15,female,private,high school,1.2,72.3,yes,30-60 min,no,mixed,26.0,34.5,37.7,29.0,f
14,other,private,post graduate,3.7,53.7,no,<15 min,no,textbook,47.5,44.1,52.9,54.9,e
14,male,private,no formal,6.5,76.0,yes,>60 min,yes,mixed,75.3,82.9,58.7,74.2,c
18,female,public,diploma,2.9,60.7,yes,<15 min,yes,textbook,44.1,39.4,46.6,38.2,f
14,female,private,high school,7.5,94.5,yes,>60 min,no,online videos,84.0,100.0,90.2,92.8,b
14,other,public,post graduate,7.5,90.4,yes,30-60 min,yes,notes,79.1,78.6,85.7,91.3,b
17,female,public,phd,0.9,86.6,no,<15 min,yes,mixed,43.9,46.0,55.7,46.9,e
14,female,private,post graduate,5.1,55.6,yes,>60 min,yes,notes,61.3,71.3,70.5,67.1,d
17,other,private,post graduate,1.6,72.3,yes,15-30 min,no,coaching,38.6,27.5,26.0,33.0,f
17,other,private,no formal,3.8,59.0,yes,>60 min,no,coaching,53.0,56.7,37.7,51.9,e
17,other,public,phd,7.2,52.2,yes,15-30 min,no,online videos,85.3,76.7,80.1,81.7,c
16,other,private,no formal,1.1,70.1,no,15-30 min,no,coaching,29.4,31.9,26.5,30.0,f
18,other,public,diploma,7.5,65.7,yes,<15 min,no,textbook,81.9,96.1,88.1,87.9,b
17,other,public,post graduate,8.0,95.9,yes,<15 min,no,online videos,100.0,100.0,100.0,100.0,a
16,other,private,high school,5.5,96.3,yes,30-60 min,no,mixed,86.3,69.5,93.1,83.6,c
14,male,private,high school,3.2,96.7,yes,15-30 min,no,notes,57.0,87.6,83.0,73.2,c
15,female,public,no formal,2.4,50.7,yes,<15 min,yes,notes,45.4,49.8,72.5,41.2,e
14,male,public,diploma,3.7,75.9,yes,<15 min,no,notes,54.8,72.1,72.6,68.8,d
14,female,public,diploma,1.8,50.9,yes,30-60 min,yes,online videos,30.1,44.9,16.5,26.1,f
15,female,private,diploma,0.7,80.2,yes,15-30 min,no,coaching,58.1,44.4,46.4,44.8,e
15,other,public,no formal,1.0,75.4,yes,30-60 min,no,online videos,35.5,41.9,29.6,33.9,f
14,female,public,high school,5.5,71.5,yes,>60 min,yes,group study,90.8,50.8,58.7,69.3,d
15,other,public,no formal,0.7,52.6,yes,<15 min,yes,online videos,5.9,35.0,15.7,19.8,f
17,other,private,high school,2.8,55.2,yes,<15 min,no,group study,50.4,49.5,63.9,41.9,e
15,other,public,graduate,5.6,65.7,no,<15 min,yes,textbook,68.8,87.4,69.0,71.8,c
15,male,public,no formal,1.8,62.1,yes,<15 min,no,online videos,31.7,36.6,56.1,42.5,e
14,other,public,no formal,3.0,58.9,yes,>60 min,yes,group study,61.8,67.9,56.9,46.4,e
14,male,public,graduate,0.7,92.6,yes,30-60 min,no,coaching,49.6,59.9,55.1,51.9,e
14,female,private,graduate,1.3,51.4,yes,30-60 min,yes,textbook,33.3,41.9,43.6,33.2,f
16,female,private,phd,2.2,60.9,yes,>60 min,yes,mixed,37.0,28.9,42.1,37.4,f
17,male,private,graduate,1.4,95.9,yes,>60 min,no,mixed,78.2,57.9,40.0,52.5,e
18,other,public,phd,4.0,93.6,yes,>60 min,no,online videos,81.2,77.6,79.6,74.2,c
17,other,public,post graduate,1.5,67.8,no,<15 min,yes,online videos,41.6,31.4,30.7,29.8,f
17,female,private,graduate,2.8,90.2,yes,>60 min,yes,coaching,54.8,68.1,46.8,63.4,d
19,male,private,diploma,5.9,57.6,yes,30-60 min,yes,online videos,52.0,45.9,62.9,61.4,d
15,male,private,no formal,5.4,82.0,yes,<15 min,no,textbook,69.0,86.1,75.8,76.1,c
18,male,private,post graduate,3.4,94.2,yes,<15 min,no,notes,50.7,46.8,57.3,54.9,e
19,other,public,phd,7.5,73.6,yes,30-60 min,yes,online videos,72.1,82.6,100.0,82.6,c
17,female,private,diploma,6.4,58.3,yes,15-30 min,yes,coaching,73.6,74.4,93.4,76.6,c
19,male,private,diploma,5.1,78.9,yes,15-30 min,yes,mixed,82.8,70.3,72.3,70.2,c
14,female,private,no formal,3.8,87.4,yes,<15 min,yes,coaching,60.8,46.6,70.4,60.2,d
19,other,public,graduate,1.0,93.3,yes,15-30 min,yes,notes,20.0,24.8,35.4,39.5,f
17,female,private,high school,3.6,69.0,yes,15-30 min,no,textbook,78.6,60.7,57.6,64.2,d
15,female,public,no formal,4.6,64.2,yes,15-30 min,no,group study,48.1,47.5,71.8,64.0,d
14,male,public,no formal,7.9,84.3,no,>60 min,no,mixed,100.0,90.0,96.7,100.0,a
18,other,private,diploma,7.6,62.5,yes,<15 min,yes,online videos,87.0,93.5,91.4,88.0,b
16,male,private,diploma,1.3,62.1,no,30-60 min,yes,online videos,53.7,24.0,20.8,27.4,f
15,other,private,diploma,7.8,59.1,yes,30-60 min,no,coaching,100.0,85.9,89.2,88.5,b
16,male,private,post graduate,6.2,68.4,no,<15 min,no,textbook,79.6,87.7,79.9,73.0,c
19,male,private,graduate,5.6,72.0,yes,<15 min,yes,online videos,76.7,52.1,88.0,77.1,c
16,female,private,post graduate,7.3,86.2,yes,>60 min,no,mixed,100.0,88.4,87.8,93.2,b
14,male,public,high school,2.9,55.4,yes,30-60 min,yes,textbook,56.0,56.1,72.1,54.6,e
15,male,public,high school,3.5,71.3,yes,15-30 min,yes,coaching,62.0,60.5,60.1,56.4,d
14,male,public,graduate,7.0,82.9,no,15-30 min,yes,online videos,98.1,82.5,96.8,96.1,a
18,other,private,no formal,1.3,77.2,yes,15-30 min,no,textbook,26.2,36.5,36.3,33.0,f
18,other,private,post graduate,5.8,89.4,yes,>60 min,no,mixed,78.3,70.7,76.3,74.8,c
19,male,private,high school,6.6,94.6,no,<15 min,no,textbook,75.7,97.4,86.7,83.6,c
17,female,public,phd,7.1,60.6,yes,<15 min,no,online videos,96.3,97.3,92.7,88.7,b
18,female,public,phd,2.1,95.4,yes,15-30 min,no,group study,48.5,45.8,49.2,48.5,e
16,female,public,graduate,5.6,94.3,yes,<15 min,no,mixed,85.9,91.0,100.0,91.3,b
17,female,private,high school,1.1,68.2,no,15-30 min,no,notes,34.5,44.2,41.8,41.3,e
14,other,public,diploma,7.0,90.7,yes,30-60 min,yes,coaching,100.0,91.2,74.7,89.4,b
17,female,private,diploma,4.1,75.8,yes,>60 min,no,notes,57.2,67.7,85.5,68.2,d
17,female,public,diploma,5.2,90.5,no,<15 min,no,notes,80.6,75.2,81.2,77.4,c
14,other,private,no formal,6.9,87.4,yes,30-60 min,no,textbook,76.6,100.0,74.7,88.3,b
17,female,private,high school,4.3,98.1,yes,<15 min,yes,online videos,85.6,89.8,71.9,81.2,c
18,male,public,post graduate,4.3,61.1,yes,>60 min,yes,online videos,48.2,54.6,49.5,51.5,e
16,male,private,no formal,4.0,86.8,yes,30-60 min,yes,coaching,60.7,65.9,64.4,59.9,d
17,female,private,diploma,5.0,50.7,no,<15 min,no,mixed,50.6,47.6,23.7,54.8,e
15,male,private,phd,5.9,96.1,yes,30-60 min,yes,textbook,68.1,86.8,63.0,88.9,b
15,other,private,no formal,6.5,59.9,yes,<15 min,no,notes,76.5,61.8,73.9,73.0,c
14,female,private,phd,0.7,68.7,yes,15-30 min,no,group study,41.4,38.3,52.3,38.7,f
15,male,public,diploma,3.1,92.2,yes,30-60 min,no,textbook,44.5,45.1,68.7,55.2,d
18,female,public,diploma,3.7,73.9,no,>60 min,yes,online videos,63.6,59.8,53.1,63.0,d
19,other,private,post graduate,1.2,83.2,yes,30-60 min,yes,group study,55.3,50.1,58.3,52.5,e
17,other,private,post graduate,6.1,68.1,no,>60 min,no,mixed,89.1,79.1,90.9,85.2,b
17,other,public,diploma,4.4,77.8,yes,30-60 min,no,online videos,72.7,80.5,74.4,72.1,c
17,other,private,no formal,0.5,92.3,yes,<15 min,yes,coaching,32.4,62.7,51.7,39.5,f
16,female,private,phd,5.2,94.6,yes,30-60 min,no,mixed,78.4,55.4,62.9,70.5,c
16,other,private,no formal,3.0,72.8,yes,<15 min,yes,group study,59.7,64.2,60.2,56.3,d
17,other,private,phd,6.0,86.0,yes,<15 min,no,online videos,53.0,71.6,92.0,72.5,c
18,female,private,diploma,1.8,73.4,yes,>60 min,yes,coaching,44.8,37.8,46.0,49.3,e
16,female,private,graduate,0.5,97.0,yes,30-60 min,yes,textbook,45.4,31.2,34.2,38.8,f
17,other,public,post graduate,1.2,86.4,yes,<15 min,no,coaching,68.7,52.9,59.2,51.6,e
16,female,private,phd,3.8,71.6,yes,>60 min,yes,coaching,57.2,55.7,58.9,55.1,d
15,male,public,no formal,6.1,74.9,yes,>60 min,yes,group study,68.0,84.2,62.6,80.8,c
15,male,public,post graduate,5.0,59.2,yes,30-60 min,no,notes,37.2,45.7,64.5,54.0,e
14,female,private,graduate,0.6,97.1,no,15-30 min,no,textbook,52.1,33.1,39.2,51.3,e
16,male,private,diploma,4.9,62.8,yes,>60 min,no,notes,68.8,71.5,78.8,70.5,c
18,male,public,diploma,4.1,59.1,yes,>60 min,yes,coaching,61.4,68.3,56.6,57.7,d
18,male,public,post graduate,6.5,72.6,yes,15-30 min,no,coaching,61.8,61.1,72.7,73.0,c
19,female,public,no formal,2.4,86.3,yes,15-30 min,yes,coaching,59.6,64.4,58.2,57.3,d
14,female,private,graduate,5.9,84.1,yes,<15 min,yes,online videos,86.1,88.8,78.4,87.0,b
18,female,public,post graduate,5.2,62.7,yes,15-30 min,no,group study,64.7,87.7,86.3,74.1,c
18,female,public,graduate,5.2,63.2,yes,>60 min,no,mixed,85.4,74.2,70.7,69.5,d
16,other,private,diploma,3.5,61.8,yes,30-60 min,yes,mixed,56.0,65.8,44.2,47.4,e
15,male,private,graduate,0.6,80.2,yes,>60 min,no,coaching,44.8,57.9,62.8,46.1,e
16,female,public,graduate,1.9,97.9,yes,<15 min,no,online videos,41.9,37.0,54.6,55.4,d
18,female,private,post graduate,6.8,94.5,yes,30-60 min,no,coaching,88.8,78.3,75.4,83.9,c
19,male,private,post graduate,5.1,75.2,yes,15-30 min,yes,notes,73.2,62.8,88.5,80.0,c
17,male,public,phd,4.8,68.9,yes,<15 min,yes,mixed,81.0,87.3,68.7,74.4,c
17,male,private,no formal,4.4,69.8,no,30-60 min,no,notes,62.2,55.8,75.0,58.1,d
17,male,public,high school,1.1,90.3,yes,<15 min,yes,textbook,25.1,39.0,32.3,35.4,f
14,male,public,phd,3.1,82.5,yes,>60 min,no,mixed,51.4,34.2,46.4,51.7,e
17,male,public,graduate,5.1,52.1,yes,<15 min,yes,notes,72.5,46.0,54.9,62.7,d
14,male,public,diploma,1.4,53.8,yes,30-60 min,no,coaching,7.4,18.5,23.4,23.2,f
19,other,public,graduate,7.4,74.1,no,<15 min,yes,online videos,100.0,97.0,94.5,98.3,a
19,other,public,diploma,1.0,76.6,yes,15-30 min,no,online videos,48.7,23.4,30.2,32.0,f
17,female,public,phd,5.6,98.0,yes,>60 min,yes,mixed,81.9,90.9,79.0,92.8,b
16,male,public,graduate,2.8,57.1,yes,>60 min,no,mixed,32.9,51.7,53.7,50.3,e
18,other,private,diploma,7.0,90.4,yes,15-30 min,no,textbook,100.0,100.0,100.0,100.0,a
17,male,public,graduate,6.7,94.8,yes,<15 min,yes,group study,59.6,79.8,92.5,82.9,c
18,male,private,high school,3.0,68.9,yes,15-30 min,no,textbook,42.6,51.8,37.6,43.4,e
17,female,public,post graduate,4.0,58.1,yes,30-60 min,no,textbook,76.1,71.7,67.9,64.2,d
15,female,private,high school,7.7,62.3,yes,15-30 min,no,notes,90.5,92.5,86.9,77.1,c
14,male,public,no formal,5.1,83.1,yes,>60 min,yes,textbook,71.2,84.2,72.1,68.2,d
15,other,public,no formal,0.5,53.5,yes,15-30 min,yes,coaching,34.6,15.8,13.1,19.6,f
17,male,public,no formal,6.3,94.3,yes,15-30 min,no,online videos,86.3,76.6,96.8,88.6,b
16,male,public,no formal,3.2,87.8,yes,30-60 min,yes,coaching,62.8,64.5,81.1,67.5,d
17,female,private,no formal,2.6,89.7,yes,15-30 min,no,notes,62.2,65.3,62.3,60.9,d
15,female,public,high school,6.7,87.0,yes,15-30 min,yes,coaching,88.0,81.4,87.6,83.9,c
19,other,public,phd,7.8,56.4,yes,15-30 min,yes,mixed,89.7,82.9,74.6,85.1,b
16,male,private,no formal,1.0,86.5,yes,>60 min,yes,coaching,38.9,49.4,43.8,48.4,e
19,female,private,post graduate,3.4,80.0,yes,15-30 min,no,mixed,52.6,47.5,61.3,51.7,e
16,male,private,phd,2.6,52.5,yes,<15 min,no,online videos,25.2,28.8,36.0,35.8,f
16,male,private,post graduate,7.2,64.2,yes,<15 min,yes,mixed,77.4,69.1,70.2,79.0,c
17,female,private,diploma,7.0,71.2,yes,>60 min,yes,notes,90.8,94.2,98.9,84.9,c
15,other,public,no formal,7.3,77.1,yes,15-30 min,yes,textbook,100.0,97.2,100.0,98.7,a
15,male,public,diploma,0.8,59.0,yes,15-30 min,no,group study,59.1,44.9,36.7,39.5,f
16,other,private,graduate,0.9,76.4,yes,15-30 min,yes,notes,39.3,44.3,70.4,44.5,e
18,female,private,post graduate,4.6,97.9,yes,>60 min,yes,group study,81.0,63.5,65.7,70.5,c
14,female,private,no formal,1.8,67.7,yes,15-30 min,yes,notes,71.6,47.2,35.4,51.4,e
16,other,private,high school,1.3,57.6,yes,30-60 min,no,mixed,60.8,22.2,36.2,37.7,f
18,male,private,graduate,2.5,73.4,yes,15-30 min,no,group study,69.7,61.8,43.9,59.2,d
18,male,public,post graduate,5.8,72.5,yes,>60 min,no,online videos,70.9,100.0,90.0,84.8,c
16,other,private,high school,5.5,95.9,yes,30-60 min,no,mixed,69.5,81.8,93.6,79.4,c
14,male,private,post graduate,6.4,73.1,yes,>60 min,yes,notes,62.4,79.6,63.2,71.1,c
14,other,public,post graduate,1.0,62.2,yes,15-30 min,yes,online videos,36.8,23.3,31.3,35.4,f
16,other,private,diploma,6.2,61.2,yes,15-30 min,no,mixed,100.0,63.5,77.9,83.0,c
18,other,public,graduate,4.2,51.7,yes,15-30 min,no,mixed,43.7,41.3,41.5,45.1,e
14,female,public,diploma,2.8,87.1,yes,15-30 min,no,coaching,51.0,84.0,57.3,58.6,d
19,female,public,post graduate,5.1,63.4,yes,15-30 min,no,group study,71.7,42.0,52.7,59.4,d
18,other,private,high school,6.5,89.4,yes,<15 min,yes,online videos,81.0,96.9,92.1,85.8,b
14,male,private,high school,1.3,77.5,yes,15-30 min,yes,notes,55.6,48.3,34.7,45.4,e
16,male,private,diploma,6.6,85.6,yes,15-30 min,yes,notes,74.8,84.0,81.1,78.4,c
15,female,public,high school,4.8,60.2,yes,30-60 min,no,notes,81.0,73.9,80.2,71.9,c
19,female,private,graduate,5.2,57.7,no,15-30 min,yes,notes,59.7,51.2,47.1,57.0,d
17,other,public,phd,7.1,70.9,yes,<15 min,yes,coaching,79.7,78.9,66.8,82.7,c
15,other,public,diploma,5.8,67.8,yes,15-30 min,no,online videos,57.9,79.7,59.7,72.2,c
15,female,public,phd,4.9,75.3,no,30-60 min,no,group study,63.6,72.0,59.1,63.1,d
17,male,public,diploma,3.0,87.4,yes,<15 min,no,mixed,39.7,37.2,39.9,52.5,e
14,male,private,no formal,4.3,95.4,yes,15-30 min,no,notes,68.5,65.4,79.8,64.8,d
15,other,private,diploma,6.8,79.7,yes,<15 min,yes,textbook,100.0,87.8,90.7,91.0,b
14,female,public,diploma,8.0,61.3,yes,30-60 min,yes,group study,86.4,68.1,73.7,80.7,c
17,female,public,no formal,6.2,64.8,yes,>60 min,no,notes,79.7,92.6,72.4,80.2,c
18,female,public,diploma,6.4,95.3,no,>60 min,yes,textbook,85.5,82.4,94.3,86.1,b
16,other,public,no formal,5.7,60.5,yes,>60 min,no,notes,85.9,80.0,89.6,78.7,c
14,male,private,post graduate,6.3,54.7,yes,<15 min,no,online videos,69.8,87.9,71.4,75.8,c
16,male,public,graduate,2.3,96.1,yes,>60 min,no,coaching,55.1,61.9,55.3,53.2,e
19,other,public,high school,3.7,51.3,yes,>60 min,no,textbook,39.0,66.0,57.8,52.8,e
15,female,public,no formal,4.7,87.4,no,<15 min,no,online videos,57.8,54.3,69.7,65.1,d
14,other,private,graduate,4.6,57.3,yes,15-30 min,yes,group study,57.1,70.2,61.3,54.6,e
14,male,private,post graduate,5.0,83.3,yes,>60 min,yes,coaching,53.9,61.6,77.9,67.3,d
18,male,private,diploma,7.8,59.3,yes,30-60 min,no,online videos,90.9,79.9,95.2,88.9,b
14,other,private,phd,6.9,94.9,yes,15-30 min,yes,mixed,91.0,89.8,79.5,84.5,c
17,other,public,high school,6.7,52.5,yes,30-60 min,no,coaching,67.7,70.5,71.6,74.7,c
19,male,public,post graduate,6.7,65.2,yes,<15 min,no,coaching,85.2,89.3,66.8,81.8,c
17,other,public,diploma,6.4,89.2,no,15-30 min,yes,textbook,79.7,85.5,95.1,93.2,b
16,male,private,high school,5.6,78.4,yes,<15 min,yes,textbook,72.3,68.9,69.0,67.8,d
15,male,public,high school,2.4,71.1,yes,>60 min,yes,textbook,52.4,73.6,52.2,57.0,d
14,other,public,diploma,6.9,71.8,yes,<15 min,no,mixed,76.3,90.9,88.9,85.9,b
14,male,public,no formal,2.6,75.1,no,<15 min,no,coaching,42.1,44.8,41.4,45.7,e
19,male,public,graduate,5.9,99.7,no,15-30 min,no,online videos,66.8,82.0,70.4,78.7,c
14,male,public,diploma,1.3,83.7,yes,15-30 min,no,textbook,54.4,23.6,59.1,46.7,e
14,female,public,post graduate,4.6,74.4,no,>60 min,yes,textbook,70.8,67.3,64.1,69.6,d
18,male,private,graduate,2.9,66.1,yes,30-60 min,yes,textbook,52.6,29.8,41.3,42.2,e
16,male,public,phd,5.8,75.2,yes,30-60 min,no,coaching,54.6,69.8,79.4,72.7,c
16,male,public,no formal,6.9,96.1,yes,30-60 min,yes,coaching,94.5,74.1,75.5,85.6,b
18,female,public,diploma,0.6,60.9,no,30-60 min,no,mixed,20.1,39.1,38.4,36.5,f
17,female,public,graduate,1.4,67.3,yes,<15 min,no,textbook,32.4,13.0,23.8,33.0,f
19,male,private,high school,7.4,53.2,yes,15-30 min,no,online videos,100.0,78.7,85.6,79.6,c
16,female,public,post graduate,2.3,81.5,yes,30-60 min,no,notes,37.9,66.9,75.5,53.8,e
18,female,public,diploma,6.0,88.4,yes,30-60 min,no,online videos,77.2,86.7,87.1,77.2,c
19,female,private,post graduate,6.6,81.6,yes,15-30 min,no,mixed,78.7,88.4,100.0,89.3,b
16,female,private,phd,6.1,90.6,yes,15-30 min,no,group study,79.7,95.5,91.1,85.6,b
15,male,private,phd,0.7,88.5,yes,<15 min,no,notes,34.7,43.7,62.1,44.7,e
19,female,public,graduate,6.0,98.6,yes,>60 min,no,mixed,65.5,92.4,71.9,92.2,b
15,other,private,post graduate,7.7,72.6,yes,15-30 min,no,coaching,90.6,76.2,88.7,85.4,b
14,male,private,phd,3.3,54.2,no,15-30 min,no,textbook,38.4,36.1,48.0,38.3,f
17,male,private,phd,5.8,76.8,yes,15-30 min,no,mixed,61.0,80.8,67.8,70.4,c
19,male,private,post graduate,2.6,88.6,yes,<15 min,no,textbook,70.2,64.3,64.3,57.7,d
14,other,private,phd,8.0,70.3,yes,15-30 min,yes,group study,98.2,100.0,87.4,92.9,b
19,other,public,phd,2.1,72.5,yes,15-30 min,no,group study,52.5,61.1,66.7,52.4,e
18,other,public,high school,2.8,86.9,yes,30-60 min,no,online videos,55.2,39.8,50.0,49.9,e
19,male,private,graduate,1.8,50.8,yes,30-60 min,no,online videos,31.6,5.9,23.9,26.2,f
16,female,public,diploma,7.7,82.9,yes,<15 min,yes,group study,96.5,100.0,90.2,96.9,a
15,male,private,phd,4.8,85.4,yes,30-60 min,yes,notes,79.3,81.4,75.9,74.9,c
17,other,private,post graduate,2.4,98.5,yes,<15 min,no,notes,66.8,64.7,79.7,64.4,d
14,female,public,phd,1.5,86.5,yes,30-60 min,yes,group study,38.9,58.6,54.5,42.7,e
19,female,private,diploma,7.1,56.5,yes,15-30 min,yes,coaching,62.7,72.0,61.7,69.9,d
17,female,private,phd,1.0,74.9,yes,15-30 min,yes,mixed,39.3,55.9,47.5,46.2,e
16,other,public,no formal,5.3,70.3,yes,15-30 min,yes,notes,58.3,70.4,72.4,67.4,d
17,other,private,phd,5.1,70.0,yes,15-30 min,yes,textbook,67.6,71.3,67.4,69.2,d
18,other,public,high school,6.3,89.3,yes,15-30 min,no,coaching,84.7,91.5,81.9,79.6,c
17,female,public,graduate,5.6,79.1,yes,15-30 min,yes,coaching,79.7,92.0,82.9,70.7,c
19,other,public,post graduate,6.8,86.5,no,>60 min,yes,coaching,100.0,98.3,98.1,98.9,a
19,other,private,post graduate,0.8,87.3,yes,>60 min,no,textbook,44.9,40.3,38.8,33.9,f
19,female,public,high school,3.7,84.4,yes,15-30 min,yes,mixed,58.4,74.7,81.0,69.9,d
17,other,public,graduate,1.1,87.9,yes,15-30 min,yes,textbook,58.4,45.6,55.6,47.9,e
18,other,public,graduate,3.5,60.9,no,30-60 min,no,mixed,67.8,50.3,59.9,58.0,d
15,other,private,post graduate,4.7,54.9,yes,<15 min,yes,mixed,38.6,63.6,67.3,52.7,e
14,male,private,high school,5.0,58.1,yes,<15 min,yes,coaching,53.0,79.9,57.8,64.7,d
16,other,private,post graduate,7.4,90.4,yes,15-30 min,yes,mixed,79.0,86.3,69.5,85.7,b
19,female,private,graduate,7.4,97.8,no,<15 min,yes,group study,100.0,96.1,100.0,100.0,a
14,male,private,post graduate,2.8,96.8,yes,<15 min,no,notes,32.6,66.2,74.7,55.3,d
17,female,public,phd,5.7,50.6,no,30-60 min,yes,group study,59.0,47.6,78.5,56.4,d
15,other,private,diploma,5.8,99.8,yes,30-60 min,yes,group study,100.0,100.0,87.8,96.2,a
16,other,public,diploma,7.7,94.3,yes,30-60 min,yes,coaching,100.0,95.0,85.6,90.7,b
14,other,private,post graduate,1.1,59.9,yes,15-30 min,yes,group study,43.3,29.8,11.9,28.6,f
18,other,private,post graduate,5.1,77.9,yes,15-30 min,yes,mixed,65.4,80.7,71.3,69.6,d
18,female,public,phd,3.6,99.2,yes,15-30 min,no,mixed,61.5,71.6,75.2,67.7,d
18,other,private,graduate,3.1,73.5,yes,>60 min,yes,online videos,62.8,51.8,42.3,51.5,e
18,male,public,graduate,5.1,97.7,yes,15-30 min,yes,coaching,97.8,80.1,81.2,85.1,b
15,male,private,no formal,2.6,77.2,yes,>60 min,no,online videos,52.1,45.5,60.7,46.8,e
17,male,private,diploma,0.8,67.2,yes,<15 min,no,mixed,14.5,23.0,46.6,26.7,f
14,other,public,high school,6.3,58.0,yes,30-60 min,yes,online videos,74.2,72.4,83.4,74.5,c
16,female,public,phd,1.2,55.2,yes,<15 min,yes,notes,25.2,38.3,25.9,30.9,f
17,other,public,no formal,3.0,85.3,yes,>60 min,no,notes,42.0,48.1,72.3,54.3,e
18,female,private,post graduate,5.0,66.4,yes,15-30 min,yes,textbook,63.7,69.1,66.6,60.9,d
14,female,private,phd,5.2,70.4,yes,15-30 min,no,textbook,64.2,82.9,69.8,73.2,c
18,other,public,diploma,5.5,96.9,yes,30-60 min,yes,notes,100.0,100.0,86.0,91.7,b
16,female,private,post graduate,8.0,60.0,no,15-30 min,yes,coaching,69.1,86.0,57.1,79.6,c
19,female,public,graduate,3.5,68.7,yes,<15 min,no,group study,25.8,53.4,67.2,49.6,e
17,male,public,post graduate,1.5,95.5,no,30-60 min,no,mixed,59.8,66.3,84.1,57.9,d
17,female,public,post graduate,1.5,97.0,yes,<15 min,no,coaching,60.5,51.8,45.2,45.2,e
18,male,public,high school,4.3,90.1,yes,>60 min,yes,coaching,69.1,76.2,74.1,67.5,d
18,male,private,post graduate,3.4,69.2,no,<15 min,no,textbook,51.2,44.1,56.2,56.5,d
14,male,public,phd,7.3,56.3,yes,>60 min,no,textbook,60.3,61.7,73.3,71.0,c
17,male,public,high school,4.3,89.5,yes,30-60 min,yes,textbook,46.3,53.4,50.2,60.8,d
14,male,private,high school,3.9,92.0,yes,<15 min,no,notes,56.0,77.1,66.7,61.9,d
16,male,public,high school,7.0,85.7,no,15-30 min,yes,notes,86.4,74.7,100.0,96.7,a
18,male,private,phd,6.5,66.9,yes,<15 min,no,coaching,71.4,81.3,69.5,69.6,d
19,other,private,phd,5.9,82.6,yes,15-30 min,no,group study,82.2,83.0,80.6,83.7,c
15,male,public,diploma,4.5,85.1,yes,>60 min,yes,mixed,68.7,69.0,79.2,68.0,d
16,female,private,phd,2.3,94.4,yes,15-30 min,no,online videos,40.9,52.6,43.3,49.9,e
17,male,public,post graduate,4.8,57.0,yes,30-60 min,yes,textbook,53.8,35.6,53.0,55.7,d
16,other,private,diploma,1.4,63.2,yes,30-60 min,yes,online videos,43.0,27.7,30.1,33.4,f
15,male,public,post graduate,4.5,70.2,yes,>60 min,yes,online videos,47.9,70.7,61.0,65.8,d
15,other,public,phd,6.9,90.6,yes,15-30 min,no,notes,88.6,100.0,88.6,97.2,a
16,female,public,phd,4.4,94.7,yes,<15 min,yes,notes,70.7,82.6,82.2,73.9,c
17,other,public,diploma,1.0,63.9,no,<15 min,no,group study,25.6,31.2,45.4,30.2,f
19,female,private,high school,0.7,75.2,yes,30-60 min,yes,group study,47.0,45.7,40.6,32.0,f
17,female,private,high school,7.0,80.4,yes,>60 min,yes,coaching,77.1,93.0,100.0,93.6,b
16,other,private,post graduate,2.2,58.3,yes,30-60 min,yes,mixed,2.3,35.2,40.3,31.6,f
17,other,public,post graduate,4.4,89.6,yes,>60 min,yes,textbook,76.6,71.1,66.0,65.0,d
18,female,private,post graduate,6.3,73.5,no,30-60 min,no,coaching,66.7,76.3,79.6,81.5,c
16,other,public,no formal,2.4,94.7,yes,30-60 min,no,online videos,51.6,64.2,61.0,59.5,d
16,other,public,phd,6.0,77.4,yes,<15 min,no,textbook,85.5,80.3,92.4,82.4,c
15,other,private,no formal,1.1,91.7,yes,<15 min,no,online videos,51.4,36.9,42.0,38.8,f
19,other,private,graduate,6.1,52.5,no,>60 min,no,notes,72.6,84.2,92.2,79.7,c
19,male,public,phd,1.0,71.9,no,>60 min,yes,coaching,38.6,51.2,37.5,44.9,e
15,female,public,high school,2.6,71.0,yes,>60 min,no,mixed,40.0,53.5,50.2,52.3,e
16,female,private,graduate,2.4,59.7,yes,15-30 min,no,group study,38.9,38.5,43.5,38.7,f
15,other,private,phd,7.2,78.1,yes,<15 min,no,online videos,100.0,99.5,85.8,94.7,b
19,male,public,high school,4.5,87.5,yes,30-60 min,no,notes,65.2,73.7,76.4,71.6,c
14,other,private,no formal,6.8,74.7,yes,<15 min,no,group study,80.4,81.6,67.8,89.5,b
15,male,public,diploma,4.9,91.6,yes,30-60 min,no,group study,71.6,83.1,80.4,73.0,c
15,female,public,post graduate,6.6,64.6,yes,15-30 min,no,textbook,85.1,72.7,74.7,79.5,c
17,other,public,graduate,4.6,64.9,no,30-60 min,no,notes,62.4,65.2,52.1,54.3,e
15,male,private,diploma,3.9,58.3,yes,<15 min,no,coaching,53.6,61.5,48.9,55.4,d
